timestamp_us,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_real_x,accel_real_y,accel_real_z,accel_world_x,accel_world_y,accel_world_z,gravity_x,gravity_y,gravity_z,yaw,pitch,roll
17412815,0.9669189453125,-0.05755615234375,-0.06158447265625,0.24072265625,29,29,2105,-1,-1,0,-719,1183,-5970,-296,210,-6117,0.09138424694538116,-0.14095382392406464,0.9857742786407471,-0.4819004535675049,0.09151329845190048,-0.14202523231506348
17422842,0.9669189453125,-0.05743408203125,-0.06146240234375,0.24072265625,30,30,2106,0,-1,0,-717,1182,-5969,-295,211,-6115,0.09120695292949677,-0.14065898954868317,0.9858033061027527,-0.4819396436214447,0.09133792668581009,-0.1417279988527298
17433060,0.9669189453125,-0.05731201171875,-0.06134033203125,0.24072265625,29,31,2106,-1,0,-1,-716,1180,-5969,-295,211,-6115,0.09102965891361237,-0.1403641551733017,0.9858322739601135,-0.48197874426841736,0.0911625325679779,-0.14143076539039612
17443057,0.9669189453125,-0.05718994140625,-0.06121826171875,0.24072265625,28,33,2107,0,-1,0,-716,1180,-5969,-297,212,-6114,0.09085236489772797,-0.14006932079792023,0.9858612418174744,-0.48201778531074524,0.09098712354898453,-0.14113354682922363
17453055,0.96697998046875,-0.0570068359375,-0.06109619140625,0.24072265625,26,31,2104,0,0,-1,-717,1175,-5973,-297,209,-6118,0.09071191400289536,-0.13966341316699982,0.9860152006149292,-0.48198559880256653,0.09083858132362366,-0.14070825278759003
17462641,0.96697998046875,-0.05694580078125,-0.06097412109375,0.24072265625,27,30,2104,-1,0,-1,-714,1172,-5973,-295,208,-6117,0.0905052199959755,-0.13948661088943481,0.986037015914917,-0.48201122879981995,0.09063301980495453,-0.14052937924861908
17472662,0.96697998046875,-0.0567626953125,-0.0609130859375,0.24072265625,30,29,2105,-1,-1,0,-711,1168,-5972,-292,208,-6115,0.09047533571720123,-0.13910309970378876,0.9860653281211853,-0.48205700516700745,0.09060557931661606,-0.14014407992362976
17482680,0.96697998046875,-0.05670166015625,-0.060791015625,0.24072265625,29,31,2103,-1,0,0,-710,1169,-5975,-292,210,-6118,0.09026864171028137,-0.13892629742622375,0.9860870838165283,-0.4820824861526489,0.09039999544620514,-0.1399652361869812
17492702,0.96697998046875,-0.05657958984375,-0.0606689453125,0.24072265625,30,31,2102,-1,0,-1,-708,1166,-5976,-291,209,-6118,0.09009133279323578,-0.1386314332485199,0.9861157536506653,-0.4821211099624634,0.09022453427314758,-0.13966800272464752
17502721,0.967041015625,-0.05645751953125,-0.060546875,0.24072265625,29,32,2102,-1,-1,-1,-707,1165,-5977,-291,210,-6119,0.08992141485214233,-0.13834348320960999,0.986262321472168,-0.4820753335952759,0.09004583209753036,-0.1393612027168274
